,didok,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing_standort_bezeichnung,parkrail_app,parkrail_webshop,parkrail_lokal,parkrail_automat,bpuic,bezeichnung_offiziell,abkuerzung,lod,tu_nummer,meteo,plz,geopos.lon,geopos.lat,train_station_ids
0,10,,,,,,,,"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Elektrovelo,10.0,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos","Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,1.0,Velostation https://www.velostation.ch/velostationen/basel-3/,Basel Badischer Bahnhof,0.0,0.0,1.0,0.0,8500010,Basel SBB,BS,http://lod.opentransportdata.swiss/didok/8500010,11,https://meteo.sbb.ch/?didok=8500010,4051,7.589562790156525,47.5474120550501,/8500010
32,16,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Basel St. Johann Bahnhof,,,,,8500016,Basel St Johann,BSSJ,http://lod.opentransportdata.swiss/didok/8500016,11,https://meteo.sbb.ch/?didok=8500016,4056,7.5725293837102425,47.57030632125374,/8500016
33,20,31.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Muttenz Bahnhof,1.0,1.0,1.0,1.0,8500020,Muttenz,MU,http://lod.opentransportdata.swiss/didok/8500020,11,https://meteo.sbb.ch/?didok=8500020,4132,7.647894426908637,47.53359121189707,/8500020
34,21,58.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,,Pratteln Bahnhof,1.0,1.0,0.0,1.0,8500021,Pratteln,PR,http://lod.opentransportdata.swiss/didok/8500021,11,https://meteo.sbb.ch/?didok=8500021,4133,7.690817304270063,47.52266863171069,/8500021
35,22,25.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,Weitere PP in Frenkendorf TOM: Mo-So 06.00 - 20.00.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Frenkendorf-Füllinsdorf Bahnhof,1.0,1.0,1.0,1.0,8500022,Frenkendorf-Füllinsdorf,FRE,http://lod.opentransportdata.swiss/didok/8500022,11,https://meteo.sbb.ch/?didok=8500022,4402,7.7191105315513475,47.501469991082466,/8500022
36,23,203.0,10.0,80.0,800.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"P+Rail-Anlage Sichtern ist komplett aufgehoben. Ersatzparkplätze stehen auf dem Martin-Birmann-Spitalareal zur Verfügung.
Am Ende der Bauarbeiten im 2025 wird ein neues Parkhaus auf der Tiergartenstrasse eröffnet. Weitere Informationen über das Bahnausbauprojekt Vierspurausbau Liestal, siehe www.sbb.ch/liestal",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Liestal Bahnhof,1.0,1.0,0.0,1.0,8500023,Liestal,LST,http://lod.opentransportdata.swiss/didok/8500023,11,https://meteo.sbb.ch/?didok=8500023,4410,7.73136748070282,47.48446117213494,/8500023
37,24,18.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Lausen Bahnhof,1.0,1.0,0.0,1.0,8500024,Lausen,LSN,http://lod.opentransportdata.swiss/didok/8500024,11,https://meteo.sbb.ch/?didok=8500024,4415,7.759762813994756,47.470344672492615,/8500024
38,25,10.0,0.0,0.0,0.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,1.0,8500025,Itingen,IT,http://lod.opentransportdata.swiss/didok/8500025,11,https://meteo.sbb.ch/?didok=8500025,4452,7.787225979669532,47.46727871777725,/8500025
39,26,110.0,8.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Sissach Bahnhof,1.0,1.0,1.0,1.0,8500026,Sissach,SIS,http://lod.opentransportdata.swiss/didok/8500026,11,https://meteo.sbb.ch/?didok=8500026,4450,7.812027570472961,47.4627541168619,/8500026
40,27,88.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Gelterkinden Bahnhof,1.0,1.0,0.0,1.0,8500027,Gelterkinden,GKD,http://lod.opentransportdata.swiss/didok/8500027,11,https://meteo.sbb.ch/?didok=8500027,4460,7.8476672215733645,47.46589371982799,/8500027
